Category: All categories
Month,Halo: (Worldwide),Call of Duty: (Worldwide)
2004-01,31,33
2004-02,26,27
2004-03,23,24
2004-04,22,20
2004-05,27,18
2004-06,22,18
2004-07,24,17
2004-08,26,17
2004-09,26,24
2004-10,43,25
2004-11,81,23
2004-12,41,31
2005-01,31,24
2005-02,28,20
2005-03,25,18
2005-04,23,16
2005-05,22,15
2005-06,22,13
2005-07,24,14
2005-08,22,14
2005-09,19,16
2005-10,21,23
2005-11,20,35
2005-12,22,37
2006-01,19,26
2006-02,20,21
2006-03,18,17
2006-04,18,18
2006-05,26,15
2006-06,20,15
2006-07,19,16
2006-08,18,16
2006-09,18,15
2006-10,21,16
2006-11,23,22
2006-12,29,24
2007-01,21,18
2007-02,20,16
2007-03,20,14
2007-04,21,14
2007-05,28,14
2007-06,24,14
2007-07,25,16
2007-08,28,16
2007-09,78,17
2007-10,72,22
2007-11,38,58
2007-12,36,51
2008-01,30,44
2008-02,27,38
2008-03,26,36
2008-04,23,31
2008-05,21,25
2008-06,22,32
2008-07,24,29
2008-08,22,28
2008-09,22,27
2008-10,22,36
2008-11,20,65
2008-12,21,52
2009-01,21,46
2009-02,25,39
2009-03,28,38
2009-04,22,33
2009-05,21,32
2009-06,22,33
2009-07,22,34
2009-08,23,38
2009-09,34,33
2009-10,25,35
2009-11,19,81
2009-12,20,58
2010-01,18,50
2010-02,20,42
2010-03,17,36
2010-04,19,34
2010-05,23,39
2010-06,16,34
2010-07,19,33
2010-08,25,36
2010-09,54,38
2010-10,32,42
2010-11,22,100
2010-12,21,61
2011-01,19,52
2011-02,17,44
2011-03,15,36
2011-04,16,35
2011-05,15,37
2011-06,22,38
2011-07,18,36
2011-08,18,37
2011-09,15,34
2011-10,15,34
2011-11,16,66
2011-12,16,44
2012-01,14,37
2012-02,13,34
2012-03,13,29
2012-04,15,29
2012-05,14,29
2012-06,17,26
2012-07,16,27
2012-08,15,26
2012-09,16,24
2012-10,24,24
2012-11,51,47
2012-12,26,36
2013-01,17,30
2013-02,15,26
2013-03,12,23
2013-04,11,24
2013-05,12,29
2013-06,13,24
2013-07,12,24
2013-08,11,28
2013-09,10,23
2013-10,10,25
2013-11,10,62
2013-12,11,38
2014-01,10,31
2014-02,9,26
2014-03,9,24
2014-04,9,22
2014-05,10,25
2014-06,11,21
2014-07,10,21
2014-08,10,23
2014-09,10,19
2014-10,10,22
2014-11,17,48
2014-12,14,31
2015-01,11,26
2015-02,9,22
2015-03,10,21
2015-04,10,21
2015-05,9,18
2015-06,10,18
2015-07,9,19
2015-08,10,21
2015-09,11,16
2015-10,22,17
2015-11,19,33
2015-12,14,26
2016-01,10,20
2016-02,9,19
2016-03,8,18
2016-04,8,17
2016-05,8,21
2016-06,8,16
2016-07,8,15
2016-08,7,14
2016-09,7,15
2016-10,7,17
2016-11,7,24
2016-12,8,18
2017-01,7,15
2017-02,8,13
2017-03,7,12
2017-04,6,16
2017-05,6,13
2017-06,6,13
2017-07,6,13
2017-08,6,15
2017-09,5,13
2017-10,6,14
2017-11,6,44
2017-12,6,25
2018-01,5,18
2018-02,5,14
